Abbreviation	Title	Date(s)	Medium
TC	The Cage (Star Trek: The Original Series)	1966	TV
TOS	Star Trek: The Original Series	1966–1969	TV
TAS	Star Trek: The Animated Series	1973–1974	TV
TMP	Star Trek: The Motion Picture	1979	film
TWOK	Star Trek II: The Wrath of Khan	1982	film
TSFS	Star Trek III: The Search for Spock	1984	film
TVH	Star Trek IV: The Voyage Home	1986	film
TFF	Star Trek V: The Final Frontier	1989	film
TUC	Star Trek VI: The Undiscovered Country	1991	film
TNG	Star Trek: The Next Generation	1987–1994	TV
DS9	Star Trek: Deep Space Nine	1993–1999	TV
GEN	Star Trek Generations	1994	film
VOY	Star Trek: Voyager	1995–2001	TV
FC	Star Trek: First Contact	1996	film
INS	Star Trek: Insurrection	1998	film
NEM	Star Trek: Nemesis	2002	film
ENT	Star Trek: Enterprise	2001–2005	TV
ST09	Star Trek (2009)	2009	film
STID	Star Trek Into Darkness	2013	film
STB	Star Trek Beyond	2016	film
DIS	Star Trek: Discovery	2017–present	TV
SHO	Star Trek: Short Treks	2018–2020	TV
PIC	Star Trek: Picard	2020–present	TV
LOW	Star Trek: Lower Decks	2020–present	TV
PRO	Star Trek: Prodigy	2021–present	TV
SNW	Star Trek: Strange New Worlds	2022–present	TV